                              | PREDICT__________________________________________| 
12/14/2025 23:31:47    605    | -17660.6543     0.00197855942   0.04031256959    | -17660.65234    
12/14/2025 23:31:47    606    | -17660.49414    0.01367553137   0.02367873117    | -17660.48047    
12/14/2025 23:31:47    607    | -17660.12891    0.003919029143  0.03273619711    | -17660.13281    
12/14/2025 23:31:47    608    | -17660.39453    0.01758096926   0.06722507626    | -17660.41211    
12/14/2025 23:31:47    609    | -17660.28125    0.01562820002   0.04826742038    | -17660.29688    
12/14/2025 23:31:47    610    | -17660.57031    0.005867902189  0.02696108632    | -17660.56445    
12/14/2025 23:31:47    611    | -17660.60547    0.01562820002   0.03022516891    | -17660.58984    
12/14/2025 23:31:47    612    | -17660.4707     0.007818897255  0.02753672376    | -17660.46289    
12/14/2025 23:31:47    613    | -17660.46484    0.0003162277571 0.02561780252    | -17660.46484    
12/14/2025 23:31:47    614    | -17660.38867    0.01562820002   0.0233310461     | -17660.37305    
12/14/2025 23:31:47    615    | -17660.58203    0.0003162277571 0.02218583412    | -17660.58203    
12/14/2025 23:31:47    616    | -17660.32422    0.01367553137   0.03360796347    | -17660.33789    
12/14/2025 23:31:47    617    | -17660.49805    0.00197855942   0.02705729753    | -17660.5        
12/14/2025 23:31:47    618    | -17660.39648    0.005867902189  0.036507871      | -17660.39062    
12/14/2025 23:31:47    619    | -17660.42773    0.009770743549  0.04256725684    | -17660.41797    
12/14/2025 23:31:47    620    | -17660.4082     0.005867902189  0.02808691747    | -17660.41406    
12/14/2025 23:31:48    621    | -17660.51562    0.005867902189  0.03633363917    | -17660.52148    
12/14/2025 23:31:48    622    | -17660.61328    0.00197855942   0.03221764416    | -17660.61133    
12/14/2025 23:31:48    623    | -17660.60742    0.009770743549  0.02554582804    | -17660.61719    
12/14/2025 23:31:48    624    | -17660.2832     0.007818897255  0.04008308798    | -17660.27539    
12/14/2025 23:31:48    625    | -17660.39258    0.003919029143  0.0260519404     | -17660.38867    
12/14/2025 23:31:48    626    | -17660.61133    0.007818897255  0.02659636177    | -17660.61914    
12/14/2025 23:31:48    627    | -17660.47461    0.01562820002   0.02358363383    | -17660.49023    
12/14/2025 23:31:48    628    | -17660.43555    0.003919029143  0.0386710614     | -17660.43945    
12/14/2025 23:31:48    629    | -17660.85938    0.00197855942   0.01731217094    | -17660.85742    
12/14/2025 23:31:48    630    | -17660.39453    0.02929858118   0.04062856734    | -17660.42383    
12/14/2025 23:31:48    631    | -17660.55859    0.00197855942   0.04213156179    | -17660.56055    
12/14/2025 23:31:48    632    | -17660.15625    0.007818897255  0.03929555416    | -17660.16406    
12/14/2025 23:31:48    633    | -17660.47852    0.003919029143  0.03263439611    | -17660.48242    
12/14/2025 23:31:48    634    | -17660.45508    0.02148670144   0.03454150632    | -17660.47656    
12/14/2025 23:31:48    635    | -17660.71484    0.00197855942   0.02684616484    | -17660.71289    
12/14/2025 23:31:48    636    | -17660.31641    0.02148670144   0.03459884599    | -17660.29492    
12/14/2025 23:31:48    637    | -17660.43945    0.01758096926   0.03491328284    | -17660.42188    
12/14/2025 23:31:48    638    | -17660.61133    0.02148670144   0.02054579929    | -17660.58984    
12/14/2025 23:31:48    639    | -17660.3457     0.003919029143  0.02892133221    | -17660.3418     
12/14/2025 23:31:48    640    | -17660.46094    0.005867902189  0.02808073536    | -17660.45508    
12/14/2025 23:31:48    641    | -17660.49805    0.007818897255  0.02980779856    | -17660.50586    
12/14/2025 23:31:48    642    | -17660.52734    0.00197855942   0.02459736355    | -17660.52539    
12/14/2025 23:31:48    643    | -17660.36328    0.005867902189  0.03701806813    | -17660.35742    
12/14/2025 23:31:48    644    | -17660.14648    0.003919029143  0.0429388769     | -17660.15039    
12/14/2025 23:31:48    645    | -17660.46875    0.01172301546   0.03083091229    | -17660.48047    
12/14/2025 23:31:48    646    | -17660.51367    0.007818897255  0.02696350776    | -17660.52148    
12/14/2025 23:31:48    647    | -17660.46484    0.003919029143  0.02981902286    | -17660.46094    
12/14/2025 23:31:48    648    | -17660.35547    0.003919029143  0.03306281567    | -17660.35938    
12/14/2025 23:31:48    649    | -17660.30859    0.01172301546   0.02929186076    | -17660.29688    
12/14/2025 23:31:48    650    | -17660.3125     0.02148670144   0.04167990386    | -17660.29102    
12/14/2025 23:31:48    651    | -17660.39062    0.009770743549  0.03040197119    | -17660.38086    
12/14/2025 23:31:49    652    | -17660.61523    0.003919029143  0.03557674587    | -17660.61133    
12/14/2025 23:31:49    653    | -17660.60156    0.003919029143  0.03278838098    | -17660.59766    
12/14/2025 23:31:49    654    | -17660.03125    0.003919029143  0.04503074661    | -17660.03516    
12/14/2025 23:31:49    655    | -17660.56055    0.01758096926   0.03337402642    | -17660.57812    
12/14/2025 23:31:49    656    | -17660.66992    0.003919029143  0.02141276374    | -17660.66602    
12/14/2025 23:31:49    657    | -17660.49219    0.00197855942   0.02795621008    | -17660.49023    
12/14/2025 23:31:49    658    | -17660.55078    0.02929858118   0.03088969551    | -17660.52148    
12/14/2025 23:31:49    659    | -17660.54297    0.01367553137   0.02909689024    | -17660.5293     
12/14/2025 23:31:49    660    | -17660.58203    0.003919029143  0.02364156023    | -17660.57812    
12/14/2025 23:31:49    661    | -17660.35547    0.01172301546   0.03125401959    | -17660.36719    
12/14/2025 23:31:49    662    | -17660.30859    0.02148670144   0.04453605041    | -17660.33008    
12/14/2025 23:31:49    663    | -17660.63281    0.01172301546   0.02083040774    | -17660.62109    
12/14/2025 23:31:49    664    | -17660.52344    0.003919029143  0.02644949965    | -17660.52734    
12/14/2025 23:31:49    665    | -17660.5625     0.005867902189  0.0240638908     | -17660.55664    
12/14/2025 23:31:49    666    | -17660.21484    0.01172301546   0.0311099235     | -17660.22656    
12/14/2025 23:31:49    667    | -17660.39648    0.01758096926   0.03036119975    | -17660.37891    
12/14/2025 23:31:49    668    | -17660.37695    0.009770743549  0.02665323205    | -17660.36719    
12/14/2025 23:31:49    669    | -17660.43945    0.007818897255  0.02803546377    | -17660.43164    
12/14/2025 23:31:49    670    | -17660.3125     0.01367553137   0.03125737235    | -17660.29883    
12/14/2025 23:31:49    671    | -17660.3457     0.02148670144   0.0304126665     | -17660.32422    
12/14/2025 23:31:49    672    | -17660.54102    0.01562820002   0.0285424795     | -17660.52539    
12/14/2025 23:31:49    673    | -17660.57617    0.007818897255  0.02507998608    | -17660.56836    
12/14/2025 23:31:49    674    | -17660.44336    0.009770743549  0.03501211852    | -17660.43359    
12/14/2025 23:31:49    675    | -17660.70312    0.003919029143  0.03085450828    | -17660.69922    
12/14/2025 23:31:49    676    | -17660.49023    0.005867902189  0.0290218927     | -17660.48438    
12/14/2025 23:31:49    677    | -17660.01367    0.03515767306   0.05557639152    | -17660.04883    
12/14/2025 23:31:49    678    | -17660.30859    0.00197855942   0.02904153615    | -17660.30664    
12/14/2025 23:31:49    679    | -17660.42773    0.005867902189  0.02771503292    | -17660.43359    
12/14/2025 23:31:49    680    | -17660.47461    0.003919029143  0.03404506668    | -17660.47852    
12/14/2025 23:31:49    681    | -17660.51172    0.00197855942   0.03568045795    | -17660.50977    
12/14/2025 23:31:49    682    | -17660.37305    0.01172301546   0.04100710154    | -17660.38477    
12/14/2025 23:31:50    683    | -17660.32227    0.009770743549  0.03430371359    | -17660.33203    
12/14/2025 23:31:50    684    | -17660.54492    0.01172301546   0.02599419095    | -17660.55664    
12/14/2025 23:31:50    685    | -17660.66992    0.01172301546   0.02531961165    | -17660.68164    
12/14/2025 23:31:50    686    | -17660.09961    0.0003162277571 0.04273188114    | -17660.09961    
12/14/2025 23:31:50    687    | -17660.41406    0.005867902189  0.0299295187     | -17660.41992    
12/14/2025 23:31:50    688    | -17660.70312    0.007818897255  0.02504859865    | -17660.71094    
12/14/2025 23:31:50    689    | -17660.49609    0.00197855942   0.02708611824    | -17660.49805    
12/14/2025 23:31:50    690    | -17660.44922    0.00197855942   0.03780956194    | -17660.44727    
12/14/2025 23:31:50    691    | -17660.38867    0.01562820002   0.0246245712     | -17660.37305    
12/14/2025 23:31:50    692    | -17660.31641    0.03711072356   0.03325149789    | -17660.2793     
12/14/2025 23:31:50    693    | -17660.38281    0.003919029143  0.05412526801    | -17660.37891    
12/14/2025 23:31:50    694    | -17660.51172    0.00197855942   0.02363816649    | -17660.51367    
12/14/2025 23:31:50    695    | -17660.5293     0.009770743549  0.02957847901    | -17660.53906    
12/14/2025 23:31:50    696    | -17660.70312    0.005867902189  0.01610725373    | -17660.70898    
12/14/2025 23:31:50    697    | -17660.56836    0.007818897255  0.02115032636    | -17660.57617    
12/14/2025 23:31:50    698    | -17660.61719    0.009770743549  0.02844679728    | -17660.62695    
12/14/2025 23:31:50    699    | -17660.38867    0.005867902189  0.03006619588    | -17660.39453    
12/14/2025 23:31:50    700    | -17660.57812    0.0003162277571 0.0218526721     | -17660.57812    
12/14/2025 23:31:50    701    | -17660.43555    0.009770743549  0.02449215017    | -17660.42578    
12/14/2025 23:31:50    702    | -17660.27734    0.02148670144   0.04842852801    | -17660.25586    
12/14/2025 23:31:50    703    | -17660.07617    0.01562820002   0.03518960625    | -17660.0918     
12/14/2025 23:31:50    704    | -17660.46289    0.003919029143  0.03009482101    | -17660.45898    
12/14/2025 23:31:50    705    | -17660.25781    0.01953380927   0.03411503509    | -17660.27734    
12/14/2025 23:31:50    706    | -17660.47461    0.003919029143  0.03371166065    | -17660.47852    
12/14/2025 23:31:50    707    | -17660.43555    0.00197855942   0.02189693972    | -17660.43359    
12/14/2025 23:31:50    708    | -17660.62891    0.01172301546   0.02769302763    | -17660.64062    
12/14/2025 23:31:50    709    | -17660.50781    0.005867902189  0.02588672005    | -17660.51367    
12/14/2025 23:31:51    710    | -17660.66406    0.009770743549  0.02094326727    | -17660.6543     
12/14/2025 23:31:51    711    | -17660.60938    0.003919029143  0.02215941995    | -17660.60547    
12/14/2025 23:31:51    712    | -17660.48828    0.007818897255  0.02023861371    | -17660.48047    
12/14/2025 23:31:51    713    | -17660.25586    0.00197855942   0.02027209848    | -17660.25391    
12/14/2025 23:31:51    714    | -17660.40625    0.02343963273   0.02186448872    | -17660.38281    
12/14/2025 23:31:51    715    | -17660.11719    0.007818897255  0.03318215907    | -17660.10938    
12/14/2025 23:31:51    716    | -17660.36914    0.01562820002   0.0384019129     | -17660.35352    
12/14/2025 23:31:51    717    | -17660.51562    0.005867902189  0.02054930665    | -17660.50977    
12/14/2025 23:31:51    718    | -17660.43359    0.01172301546   0.02722427063    | -17660.42188    
12/14/2025 23:31:51    719    | -17660.53516    0.0003162277571 0.02535810322    | -17660.53516    
12/14/2025 23:31:51    720    | -17660.31055    0.005867902189  0.03055753373    | -17660.30469    
12/14/2025 23:31:51    721    | -17660.59961    0.009770743549  0.01848478429    | -17660.60938    
12/14/2025 23:31:51    722    | -17660.53125    0.01172301546   0.03347964585    | -17660.54297    
12/14/2025 23:31:51    723    | -17660.60938    0.003919029143  0.02686823718    | -17660.61328    
12/14/2025 23:31:51    724    | -17660.53516    0.00197855942   0.02749418654    | -17660.53711    
12/14/2025 23:31:51    725    | -17660.66016    0.009770743549  0.02284654602    | -17660.65039    
12/14/2025 23:31:51    726    | -17660.49609    0.00197855942   0.02472533658    | -17660.49414    
12/14/2025 23:31:51    727    | -17660.24609    0.009770743549  0.02879218943    | -17660.23633    
12/14/2025 23:31:51    728    | -17660.67188    0.01172301546   0.02772258967    | -17660.66016    
12/14/2025 23:31:51    729    | -17660.20117    0.01172301546   0.03129908815    | -17660.18945    
12/14/2025 23:31:51    730    | -17660.44922    0.0003162277571 0.02757629566    | -17660.44922    
12/14/2025 23:31:51    731    | -17660.26562    0.005867902189  0.03009514697    | -17660.25977    
12/14/2025 23:31:51    732    | -17660.59375    0.00197855942   0.02725427225    | -17660.5957     
12/14/2025 23:31:51    733    | -17660.625      0.003919029143  0.02132017352    | -17660.62109    
12/14/2025 23:31:51    734    | -17660.35742    0.003919029143  0.02215015329    | -17660.35352    
12/14/2025 23:31:51    735    | -17660.41406    0.005867902189  0.02832019515    | -17660.4082     
12/14/2025 23:31:51    736    | -17660.33008    0.003919029143  0.02333872207    | -17660.32617    
12/14/2025 23:31:51    737    | -17660.76367    0.007818897255  0.0236525666     | -17660.75586    
12/14/2025 23:31:51    738    | -17660.50195    0.009770743549  0.02240587212    | -17660.49219    
12/14/2025 23:31:51    739    | -17660.37305    0.00197855942   0.02419427596    | -17660.375      
12/14/2025 23:31:51    740    | -17660.48242    0.009770743549  0.02850004286    | -17660.47266    
12/14/2025 23:31:52    741    | -17660.33789    0.003919029143  0.02975558303    | -17660.3418     
12/14/2025 23:31:52    742    | -17660.17969    0.007818897255  0.03547818214    | -17660.17188    
12/14/2025 23:31:52    743    | -17660.35742    0.007818897255  0.02496854961    | -17660.34961    
12/14/2025 23:31:52    744    | -17660.34375    0.01367553137   0.03184068948    | -17660.33008    
12/14/2025 23:31:52    745    | -17660.36523    0.00197855942   0.03837195411    | -17660.36328    
12/14/2025 23:31:52    746    | -17660.5625     0.00197855942   0.02607441507    | -17660.56055    
12/14/2025 23:31:52    747    | -17660.3457     0.007818897255  0.03018883616    | -17660.33789    
12/14/2025 23:31:52    748    | -17660.49414    0.01367553137   0.03359593451    | -17660.48047    
12/14/2025 23:31:52    749    | -17660.70703    0.01758096926   0.02758431621    | -17660.68945    
12/14/2025 23:31:52    750    | -17660.41602    0.00197855942   0.02534159832    | -17660.41406    
12/14/2025 23:31:52    751    | -17660.68945    0.003919029143  0.02285329998    | -17660.68555    
12/14/2025 23:31:52    752    | -17660.32227    0.005867902189  0.03140207753    | -17660.32812    
12/14/2025 23:31:52    753    | -17660.55859    0.003919029143  0.02137397975    | -17660.55469    
12/14/2025 23:31:52    754    | -17660.24219    0.0003162277571 0.02848315239    | -17660.24219    
12/14/2025 23:31:52    755    | -17660.1582     0.00197855942   0.02970511839    | -17660.16016    
12/14/2025 23:31:52    756    | -17660.41016    0.003919029143  0.02839144506    | -17660.41406    
12/14/2025 23:31:52    757    | -17660.50781    0.00197855942   0.02805630118    | -17660.50586    
12/14/2025 23:31:52    758    | -17660.54688    0.005867902189  0.02804762684    | -17660.54102    
12/14/2025 23:31:52    759    | -17660.50195    0.003919029143  0.02535878681    | -17660.49805    
12/14/2025 23:31:52    760    | -17660.48828    0.003919029143  0.01879130863    | -17660.48438    
12/14/2025 23:31:52    761    | -17660.67578    0.003919029143  0.01886951178    | -17660.67188    
12/14/2025 23:31:52    762    | -17660.49805    0.007818897255  0.0287626069     | -17660.49023    
12/14/2025 23:31:52    763    | -17660.38281    0.007818897255  0.02976129949    | -17660.375      
12/14/2025 23:31:52    764    | -17660.69141    0.009770743549  0.01924988069    | -17660.68164    
12/14/2025 23:31:52    765    | -17660.39844    0.01758096926   0.02918215841    | -17660.41602    
12/14/2025 23:31:52    766    | -17660.70703    0.009770743549  0.0201580096     | -17660.69727    
12/14/2025 23:31:52    767    | -17660.52344    0.007818897255  0.01890377887    | -17660.51562    
12/14/2025 23:31:52    768    | -17660.30078    0.009770743549  0.03279206902    | -17660.29102    
12/14/2025 23:31:52    769    | -17660.16406    0.005867902189  0.03122420236    | -17660.16992    
12/14/2025 23:31:52    770    | -17660.40039    0.003919029143  0.02625149116    | -17660.39648    
12/14/2025 23:31:53    771    | -17660.48047    0.007818897255  0.02907501161    | -17660.47266    
12/14/2025 23:31:53    772    | -17660.47461    0.00197855942   0.01957270503    | -17660.47266    
12/14/2025 23:31:53    773    | -17660.1875     0.009770743549  0.03724427149    | -17660.17773    
12/14/2025 23:31:53    774    | -17660.48828    0.009770743549  0.03258695826    | -17660.49805    
12/14/2025 23:31:53    775    | -17660.22656    0.0390637815    0.04360921308    | -17660.1875     
12/14/2025 23:31:53    776    | -17660.5        0.005867902189  0.02332372963    | -17660.50586    
12/14/2025 23:31:53    777    | -17660.71484    0.005867902189  0.02124259248    | -17660.7207     
12/14/2025 23:31:53    778    | -17660.44336    0.01758096926   0.03156836703    | -17660.46094    
12/14/2025 23:31:53    779    | -17660.47266    0.00197855942   0.02869752608    | -17660.4707     
12/14/2025 23:31:53    780    | -17660.35547    0.009770743549  0.03455851227    | -17660.36523    
12/14/2025 23:31:53    781    | -17660.71875    0.00197855942   0.02506596595    | -17660.7207     
12/14/2025 23:31:53    782    | -17660.3457     0.003919029143  0.05574065447    | -17660.34961    
12/14/2025 23:31:53    783    | -17660.50391    0.003919029143  0.02223758399    | -17660.5        
12/14/2025 23:31:53    784    | -17660.5918     0.00197855942   0.03319487348    | -17660.59375    
12/14/2025 23:31:53    785    | -17660.54102    0.0003162277571 0.02509353496    | -17660.54102    
12/14/2025 23:31:53    786    | -17660.57031    0.0003162277571 0.01862839609    | -17660.57031    
12/14/2025 23:31:53    787    | -17660.18164    0.003919029143  0.02944954857    | -17660.17773    
12/14/2025 23:31:53    788    | -17660.47852    0.01172301546   0.01971888915    | -17660.49023    
12/14/2025 23:31:53    789    | -17660.55664    0.01953380927   0.02940337919    | -17660.53711    
12/14/2025 23:31:53    790    | -17660.60352    0.01172301546   0.01945441589    | -17660.5918     
12/14/2025 23:31:53    791    | -17660.66797    0.009770743549  0.02399985678    | -17660.6582     
12/14/2025 23:31:53    792    | -17660.61133    0.01172301546   0.03372170776    | -17660.59961    
12/14/2025 23:31:53    793    | -17660.51953    0.01367553137   0.02717331983    | -17660.50586    
12/14/2025 23:31:53    794    | -17660.45898    0.007818897255  0.02842022292    | -17660.45117    
12/14/2025 23:31:53    795    | -17660.42969    0.01367553137   0.03004445508    | -17660.44336    
12/14/2025 23:31:53    796    | -17660.5293     0.00197855942   0.02887055278    | -17660.53125    
12/14/2025 23:31:53    797    | -17660.33203    0.01172301546   0.02772170305    | -17660.34375    
12/14/2025 23:31:53    798    | -17660.67383    0.01367553137   0.02946880087    | -17660.66016    
12/14/2025 23:31:53    799    | -17660.52734    0.005867902189  0.02664403617    | -17660.5332     
12/14/2025 23:31:53    800    | -17660.14648    0.005867902189  0.02864795923    | -17660.15234    
12/14/2025 23:31:54    801    | -17660.52148    0.003919029143  0.02886218764    | -17660.51758    
12/14/2025 23:31:54    802    | -17660.26172    0.007818897255  0.03176196292    | -17660.26953    
12/14/2025 23:31:54    803    | -17660.12305    0.007818897255  0.03269076347    | -17660.13086    
12/14/2025 23:31:54    804    | -17660.69727    0.0003162277571 0.01983396895    | -17660.69727    
12/14/2025 23:31:54    805    | -17660.56641    0.003919029143  0.02521248721    | -17660.5625     
12/14/2025 23:31:54    806    | -17660.57617    0.00197855942   0.02257937752    | -17660.57422    
12/14/2025 23:31:54    807    | -17660.44531    0.00197855942   0.03655625507    | -17660.44336    
12/14/2025 23:31:54    808    | -17660.57031    0.005867902189  0.02590738796    | -17660.56445    
12/14/2025 23:31:54    809    | -17660.51172    0.01367553137   0.02753335238    | -17660.52539    
12/14/2025 23:31:54    810    | -17660.13477    0.009770743549  0.03143711761    | -17660.125      
12/14/2025 23:31:54    811    | -17660.14062    0.005867902189  0.0306864325     | -17660.14648    
12/14/2025 23:31:54    812    | -17660.45312    0.009770743549  0.0240173284     | -17660.44336    
12/14/2025 23:31:54    813    | -17660.57617    0.003919029143  0.03330168501    | -17660.57227    
12/14/2025 23:31:54    814    | -17660.53125    0.007818897255  0.02464193851    | -17660.52344    
12/14/2025 23:31:54    815    | -17660.63672    0.0003162277571 0.02351352386    | -17660.63672    
12/14/2025 23:31:54    816    | -17660.57812    0.009770743549  0.02985154092    | -17660.56836    
12/14/2025 23:31:54    817    | -17660.61328    0.009770743549  0.0243777968     | -17660.60352    
12/14/2025 23:31:54    818    | -17660.66992    0.009770743549  0.0198489707     | -17660.66016    
12/14/2025 23:31:54    819    | -17660.58594    0.00197855942   0.02353762835    | -17660.58398    
12/14/2025 23:31:54    820    | -17660.60352    0.00197855942   0.01885843836    | -17660.60156    
12/14/2025 23:31:54    821    | -17660.63281    0.003919029143  0.0253593307     | -17660.62891    
12/14/2025 23:31:54    822    | -17660.69141    0.01953380927   0.02906487323    | -17660.67188    
12/14/2025 23:31:54    823    | -17660.5        0.00197855942   0.02534732968    | -17660.49805    
12/14/2025 23:31:54    824    | -17660.36523    0.01562820002   0.03047732636    | -17660.34961    
12/14/2025 23:31:54    825    | -17660.60156    0.00197855942   0.02282739244    | -17660.59961    
12/14/2025 23:31:54    826    | -17660.51562    0.007818897255  0.02624173835    | -17660.50781    
12/14/2025 23:31:54    827    | -17660.57617    0.01172301546   0.02084909193    | -17660.56445    
12/14/2025 23:31:54    828    | -17660.68555    0.005867902189  0.01653119363    | -17660.67969    
12/14/2025 23:31:54    829    | -17660.55859    0.007818897255  0.02474296093    | -17660.55078    
12/14/2025 23:31:55    830    | -17660.55273    0.009770743549  0.02067094855    | -17660.54297    
12/14/2025 23:31:55    831    | -17660.23633    0.02343963273   0.02666212805    | -17660.21289    
12/14/2025 23:31:55    832    | -17660.38477    0.00197855942   0.02764565684    | -17660.38672    
12/14/2025 23:31:55    833    | -17660          0.00197855942   0.04094772413    | -17659.99805    
12/14/2025 23:31:55    834    | -17660.29297    0.01172301546   0.02675882541    | -17660.28125    
12/14/2025 23:31:55    835    | -17660.47656    0.00197855942   0.02124667913    | -17660.47461    
12/14/2025 23:31:55    836    | -17660.4043     0.007818897255  0.03008843772    | -17660.41211    
12/14/2025 23:31:55    837    | -17660.3418     0.007818897255  0.0317299962     | -17660.34961    
12/14/2025 23:31:55    838    | -17660.35742    0.005867902189  0.02433795668    | -17660.35156    
12/14/2025 23:31:55    839    | -17660.4043     0.01758096926   0.02912491933    | -17660.38672    
12/14/2025 23:31:55    840    | -17660.40234    0.00197855942   0.03456363454    | -17660.40039    
12/14/2025 23:31:55    841    | -17660.42188    0.00197855942   0.03134289756    | -17660.41992    
12/14/2025 23:31:55    842    | -17660.58203    0.009770743549  0.03253078461    | -17660.57227    
12/14/2025 23:31:55    843    | -17660.44922    0.02148670144   0.02673336864    | -17660.42773    
12/14/2025 23:31:55    844    | -17660.42383    0.01172301546   0.02834064327    | -17660.41211    
12/14/2025 23:31:55    845    | -17660.25977    0.009770743549  0.03339707479    | -17660.25       
12/14/2025 23:31:55    846    | -17660.32617    0.009770743549  0.02974889986    | -17660.31641    
12/14/2025 23:31:55    847    | -17660.61133    0.003919029143  0.02294344082    | -17660.60742    
12/14/2025 23:31:55    848    | -17660.35156    0.007818897255  0.02513292432    | -17660.35938    
12/14/2025 23:31:55    849    | -17660.71875    0.01367553137   0.02125798911    | -17660.73242    
12/14/2025 23:31:55    850    | -17660.49414    0.01367553137   0.03022728488    | -17660.48047    
12/14/2025 23:31:55    851    | -17660.57812    0.00197855942   0.02562522702    | -17660.58008    
12/14/2025 23:31:55    852    | -17660.25977    0.005867902189  0.03257253394    | -17660.26562    
12/14/2025 23:31:55    853    | -17660.44727    0.009770743549  0.0311133936     | -17660.45703    
12/14/2025 23:31:55    854    | -17660.22656    0.01367553137   0.04102788866    | -17660.24023    
12/14/2025 23:31:55    855    | -17660.26367    0.003919029143  0.03211822733    | -17660.26758    
12/14/2025 23:31:55    856    | -17660.00586    0.00197855942   0.03744088858    | -17660.00391    
12/14/2025 23:31:55    857    | -17660.35352    0.01758096926   0.02963037044    | -17660.33594    
12/14/2025 23:31:55    858    | -17660.46289    0.007818897255  0.03090679832    | -17660.45508    
12/14/2025 23:31:55    859    | -17660.39062    0.005867902189  0.02805325016    | -17660.39648    
12/14/2025 23:31:56    860    | -17660.29492    0.0003162277571 0.03222865984    | -17660.29492    
12/14/2025 23:31:56    861    | -17660.49219    0.003919029143  0.02698300034    | -17660.48828    
12/14/2025 23:31:56    862    | -17660.24609    0.003919029143  0.03044781834    | -17660.25       
12/14/2025 23:31:56    863    | -17660.36914    0.007818897255  0.03643401712    | -17660.36133    
12/14/2025 23:31:56    864    | -17660.30664    0.003919029143  0.03131218255    | -17660.30273    
12/14/2025 23:31:56    865    | -17660.16602    0.01562820002   0.04143913835    | -17660.15039    
12/14/2025 23:31:56    866    | -17660.50781    0.0003162277571 0.02211962081    | -17660.50781    
12/14/2025 23:31:56    867    | -17660.42969    0.01172301546   0.03083725832    | -17660.41797    
12/14/2025 23:31:56    868    | -17660.39062    0.005867902189  0.02543619648    | -17660.38477    
12/14/2025 23:31:56    869    | -17660.64453    0.00197855942   0.02850513719    | -17660.64258    
12/14/2025 23:31:56    870    | -17660.47461    0.01172301546   0.02862940356    | -17660.46289    
12/14/2025 23:31:56    871    | -17660.38477    0.003919029143  0.02853972837    | -17660.38086    
12/14/2025 23:31:56    872    | -17660.64453    0.0003162277571 0.02453491278    | -17660.64453    
12/14/2025 23:31:56    873    | -17660.22266    0.0003162277571 0.02533305809    | -17660.22266    
12/14/2025 23:31:56    874    | -17660.39062    0.00197855942   0.03549564257    | -17660.39258    
12/14/2025 23:31:56    875    | -17660.49023    0.01562820002   0.02941115201    | -17660.47461    
12/14/2025 23:31:56    876    | -17660.47852    0.01758096926   0.02907017991    | -17660.46094    
12/14/2025 23:31:56    877    | -17660.31445    0.01953380927   0.04243290797    | -17660.29492    
12/14/2025 23:31:56    878    | -17660          0.01367553137   0.04612054303    | -17660.01367    
12/14/2025 23:31:56    879    | -17660.34766    0.01562820002   0.03748483211    | -17660.33203    
12/14/2025 23:31:56    880    | -17660.19141    0.01758096926   0.0351193659     | -17660.17383    
12/14/2025 23:31:56    881    | -17660.13672    0.003919029143  0.03097273596    | -17660.13281    
12/14/2025 23:31:56    882    | -17660.31836    0.01367553137   0.03697316349    | -17660.30469    
12/14/2025 23:31:56    883    | -17660.23828    0.00197855942   0.03668258339    | -17660.24023    
12/14/2025 23:31:56    884    | -17660.26562    0.01172301546   0.04294230416    | -17660.27734    
12/14/2025 23:31:56    885    | -17660.4668     0.00197855942   0.03498625755    | -17660.46484    
12/14/2025 23:31:56    886    | -17660.44531    0.007818897255  0.04084833339    | -17660.45312    
12/14/2025 23:31:56    887    | -17660.41602    0.005867902189  0.06073412672    | -17660.42188    
12/14/2025 23:31:56    888    | -17660.39453    0.01172301546   0.02933995798    | -17660.40625    
12/14/2025 23:31:56    889    | -17660.375      0.009770743549  0.03216804564    | -17660.38477    
12/14/2025 23:31:57    890    | -17660.71289    0.02148670144   0.03412787244    | -17660.73438    
12/14/2025 23:31:57    891    | -17660.4043     0.01758096926   0.03107939847    | -17660.42188    
12/14/2025 23:31:57    892    | -17660.5918     0.02539259382   0.04677428678    | -17660.61719    
12/14/2025 23:31:57    893    | -17660.16406    0.04687606543   0.03578053787    | -17660.21094    
12/14/2025 23:31:57    894    | -17660.43555    0.05078223348   0.03021572717    | -17660.48633    
12/14/2025 23:31:57    895    | -17660.38086    0.00197855942   0.0357430093     | -17660.37891    
12/14/2025 23:31:57    896    | -17659.86133    0.00197855942   0.03936226293    | -17659.86328    
12/14/2025 23:31:57    897    | -17660.55078    0.00197855942   0.02330189943    | -17660.54883    
12/14/2025 23:31:57    898    | -17660.27148    0.007818897255  0.03366430849    | -17660.26367    
12/14/2025 23:31:57    899    | -17660.11133    0.02734557912   0.05465334281    | -17660.13867    
12/14/2025 23:31:57    900    | -17660.43555    0.00197855942   0.02990018949    | -17660.43359    
12/14/2025 23:31:57    901    | -17660.35547    0.01367553137   0.03387180343    | -17660.3418     
12/14/2025 23:31:57    902    | -17660.41602    0.01172301546   0.03109653108    | -17660.4043     
12/14/2025 23:31:57    903    | -17660.4707     0.0003162277571 0.02227221243    | -17660.4707     
12/14/2025 23:31:57    904    | -17660.44727    0.005867902189  0.02607562393    | -17660.44141    
12/14/2025 23:31:57    905    | -17660.60352    0.02343963273   0.03647081554    | -17660.62695    
12/14/2025 23:31:57    906    | -17660.5332     0.00197855942   0.03216708079    | -17660.53125    
12/14/2025 23:31:57    907    | -17660.32227    0.02539259382   0.04701676965    | -17660.34766    
12/14/2025 23:31:57    908    | -17660.37109    0.02539259382   0.02981321327    | -17660.39648    
