                              | PREDICT_________________________________| EXACT_________
01/24/2025 19:10:02    660    | -17659.11    0.003433228  0.05825315    | -17659.17    
01/24/2025 19:10:02    661    | -17658.49    0.01112366   0.05723533    | -17658.6     
01/24/2025 19:10:02    662    | -17660.01    0.006103516  0.02713515    | -17659.93    
01/24/2025 19:10:02    663    | -17659.83    0.0001869202 0.01344178    | -17659.81    
01/24/2025 19:10:02    664    | -17659.56    0.00320816   0.03028526    | -17659.62    
01/24/2025 19:10:02    665    | -17659.82    0.001682281  0.02134141    | -17659.86    
01/24/2025 19:10:02    666    | -17658.9     0.001235962  0.03482405    | -17658.86    
01/24/2025 19:10:02    667    | -17659.42    0.03738785   0.0383231     | -17659.23    
01/24/2025 19:10:02    668    | -17659.88    0.00390625   0.01335774    | -17659.82    
01/24/2025 19:10:02    669    | -17659.69    0.009922028  0.02397104    | -17659.59    
01/24/2025 19:10:02    670    | -17659.28    0.008789062  0.03385378    | -17659.18    
01/24/2025 19:10:02    671    | -17659.38    0.005508423  0.02783121    | -17659.3     
01/24/2025 19:10:02    672    | -17659.37    3.814697e-06 0.02302573    | -17659.37    
01/24/2025 19:10:02    673    | -17658.97    3.814697e-06 0.03250201    | -17658.97    
01/24/2025 19:10:02    674    | -17659.33    0.0146637    0.03184271    | -17659.21    
01/24/2025 19:10:02    675    | -17658.51    0.01283264   0.04845785    | -17658.62    
01/24/2025 19:10:02    676    | -17659.66    0.004943848  0.02024976    | -17659.73    
01/24/2025 19:10:02    677    | -17659.28    0.001525879  0.06487777    | -17659.24    
01/24/2025 19:10:02    678    | -17659.22    0.0003814697 0.02001058    | -17659.2     
01/24/2025 19:10:02    679    | -17659.49    0.002578735  0.01945414    | -17659.54    
01/24/2025 19:10:03    680    | -17659.26    0.04449463   0.08530904    | -17659.47    
01/24/2025 19:10:03    681    | -17659.12    0.001235962  0.02210768    | -17659.09    
01/24/2025 19:10:03    682    | -17660.01    0.003433228  0.01274716    | -17659.96    
01/24/2025 19:10:03    683    | -17659.49    0.00440979   0.04219067    | -17659.43    
01/24/2025 19:10:03    684    | -17659.71    0.005508423  0.01953953    | -17659.63    
01/24/2025 19:10:03    685    | -17659.7     0.02627945   0.02285492    | -17659.54    
01/24/2025 19:10:03    686    | -17659.61    0.006729126  0.07654929    | -17659.53    
01/24/2025 19:10:03    687    | -17659.77    0.02032852   0.0241109     | -17659.63    
01/24/2025 19:10:03    688    | -17659.06    0.02145767   0.1409363     | -17658.91    
01/24/2025 19:10:03    689    | -17659.51    0.01112366   0.04377032    | -17659.4     
01/24/2025 19:10:03    690    | -17659.48    0.04449463   0.04342985    | -17659.27    
01/24/2025 19:10:03    691    | -17659.55    0.05493164   0.05004693    | -17659.31    
01/24/2025 19:10:03    692    | -17659.36    0.01153946   0.04318209    | -17659.25    
01/24/2025 19:10:03    693    | -17659.7     0.04205704   0.04273522    | -17659.5     
01/24/2025 19:10:03    694    | -17660.2     0.008789062  0.01218658    | -17660.11    
01/24/2025 19:10:03    695    | -17659.81    0.002197266  0.02088769    | -17659.77    
01/24/2025 19:10:03    696    | -17659.49    0.00440979   0.02932897    | -17659.43    
01/24/2025 19:10:03    697    | -17659.89    0.01153946   0.01420997    | -17659.78    
01/24/2025 19:10:03    698    | -17659.72    0.00440979   0.02457481    | -17659.66    
01/24/2025 19:10:03    699    | -17659.5     0.01031494   0.02440643    | -17659.4     
01/24/2025 19:10:03    700    | -17659.58    0.005802155  0.03186772    | -17659.5     
01/24/2025 19:10:03    701    | -17659.7     0.0161171    0.02526754    | -17659.58    
01/24/2025 19:10:03    702    | -17659.44    0.03021622   0.02794704    | -17659.26    
01/24/2025 19:10:03    703    | -17659.62    0.0003814697 0.02560166    | -17659.6     
01/24/2025 19:10:03    704    | -17658.96    0.03814697   0.06505799    | -17659.15    
01/24/2025 19:10:03    705    | -17659.32    0.003433228  0.04166637    | -17659.38    
01/24/2025 19:10:03    706    | -17659.89    0.01419449   0.01912429    | -17659.77    
01/24/2025 19:10:03    707    | -17659.46    0.01153946   0.01926021    | -17659.35    
01/24/2025 19:10:03    708    | -17659.69    0.01196289   0.01818104    | -17659.58    
01/24/2025 19:10:03    709    | -17659.43    0.0006446838 0.02130382    | -17659.4     
01/24/2025 19:10:03    710    | -17658.61    0.0001869202 0.08490578    | -17658.62    
01/24/2025 19:10:03    711    | -17659.19    0.0005493164 0.03883569    | -17659.17    
01/24/2025 19:10:03    712    | -17659.5     0.0001373291 0.05393881    | -17659.52    
01/24/2025 19:10:03    713    | -17658.99    0.00320816   0.04263434    | -17658.93    
01/24/2025 19:10:03    714    | -17659.63    0.01071548   0.02656578    | -17659.53    
01/24/2025 19:10:03    715    | -17659.53    0.02627945   0.03557268    | -17659.36    
01/24/2025 19:10:03    716    | -17659.53    0.0009765625 0.03016973    | -17659.5     
01/24/2025 19:10:03    717    | -17659.41    0.0005493164 0.07627884    | -17659.39    
01/24/2025 19:10:03    718    | -17658.63    0.01153946   0.07014555    | -17658.52    
01/24/2025 19:10:03    719    | -17659.57    1.525879e-05 0.0211925     | -17659.57    
01/24/2025 19:10:03    720    | -17659.49    0.015625     0.04468571    | -17659.61    
01/24/2025 19:10:03    721    | -17659.56    0.0003814697 0.03291894    | -17659.58    
01/24/2025 19:10:03    722    | -17659.48    0.0001869202 0.02964794    | -17659.49    
01/24/2025 19:10:03    723    | -17659.38    0.004154205  0.08148377    | -17659.44    
01/24/2025 19:10:03    724    | -17659.37    0.007053375  0.02217148    | -17659.28    
01/24/2025 19:10:03    725    | -17659.5     0.01153946   0.02067197    | -17659.4     
01/24/2025 19:10:03    726    | -17659.53    0.001682281  0.03025653    | -17659.49    
01/24/2025 19:10:03    727    | -17660.04    0.009922028  0.01216015    | -17659.94    
01/24/2025 19:10:04    728    | -17659.64    0.002990723  0.01427479    | -17659.58    
01/24/2025 19:10:04    729    | -17659.77    0.008789062  0.02690643    | -17659.68    
01/24/2025 19:10:04    730    | -17659.99    0.01977539   0.01390666    | -17659.85    
01/24/2025 19:10:04    731    | -17660.01    0.01977539   0.01695344    | -17659.87    
01/24/2025 19:10:04    732    | -17659.72    0.0269165    0.01792252    | -17659.55    
01/24/2025 19:10:04    733    | -17660.18    0.02145767   0.01667919    | -17660.03    
01/24/2025 19:10:04    734    | -17659.84    0.02627945   0.03308065    | -17659.68    
01/24/2025 19:10:04    735    | -17658.91    0.03021622   0.02193604    | -17658.73    
01/24/2025 19:10:04    736    | -17659.14    0.004154205  0.0302851     | -17659.07    
01/24/2025 19:10:04    737    | -17659.61    0.001525879  0.02020754    | -17659.57    
01/24/2025 19:10:04    738    | -17659.57    0.04957581   0.04206327    | -17659.35    
01/24/2025 19:10:04    739    | -17660.21    0.01327896   0.01645014    | -17660.1     
01/24/2025 19:10:04    740    | -17659.61    0.02380753   0.03721074    | -17659.45    
01/24/2025 19:10:04    741    | -17659.09    0.02502823   0.05003142    | -17658.93    
01/24/2025 19:10:04    742    | -17659.97    0.01419449   0.01160364    | -17659.85    
01/24/2025 19:10:04    743    | -17659.46    0.0007476807 0.02542564    | -17659.43    
01/24/2025 19:10:04    744    | -17658.99    0.06446838   0.07855053    | -17658.74    
01/24/2025 19:10:04    745    | -17659.23    0.007385254  0.03980616    | -17659.15    
01/24/2025 19:10:04    746    | -17659.61    0.09765625   0.04233804    | -17659.3     
01/24/2025 19:10:04    747    | -17658.78    0.03515625   0.05569689    | -17658.59    
01/24/2025 19:10:04    748    | -17659.28    0.01869202   0.02339463    | -17659.14    
01/24/2025 19:10:04    749    | -17659.41    0.02502823   0.03496139    | -17659.25    
01/24/2025 19:10:04    750    | -17659.95    0.02441406   0.02429325    | -17659.8     
01/24/2025 19:10:04    751    | -17659.61    0.006103516  0.02579394    | -17659.53    
01/24/2025 19:10:04    752    | -17659.2     0.006412506  0.05003408    | -17659.12    
01/24/2025 19:10:04    753    | -17659.87    0.0007476807 0.02367466    | -17659.84    
01/24/2025 19:10:04    754    | -17659.04    0.03299332   0.03917835    | -17658.86    
01/24/2025 19:10:04    755    | -17659.42    0.0001373291 0.02357898    | -17659.44    
01/24/2025 19:10:04    756    | -17659.56    0.02565002   0.03406673    | -17659.4     
01/24/2025 19:10:04    757    | -17659.71    0.01112366   0.0354354     | -17659.6     
01/24/2025 19:10:04    758    | -17659.21    0.03442764   0.04412917    | -17659.02    
01/24/2025 19:10:04    759    | -17659.47    0.01661682   0.01854133    | -17659.34    
01/24/2025 19:10:04    760    | -17659.92    0.01763916   0.03580888    | -17659.79    
01/24/2025 19:10:04    761    | -17660.11    0.0146637    0.02071471    | -17659.99    
01/24/2025 19:10:04    762    | -17659.75    0.008071899  0.02547998    | -17659.66    
01/24/2025 19:10:04    763    | -17659.83    0.0007476807 0.01831104    | -17659.81    
01/24/2025 19:10:04    764    | -17658.84    0.002990723  0.05943953    | -17658.79    
01/24/2025 19:10:04    765    | -17660.16    0.02032852   0.01135356    | -17660.02    
01/24/2025 19:10:04    766    | -17659.47    0.00440979   0.01745246    | -17659.41    
01/24/2025 19:10:04    767    | -17659.99    0.01196289   0.01828006    | -17659.88    
01/24/2025 19:10:04    768    | -17659.82    0.009536743  0.01518293    | -17659.73    
01/24/2025 19:10:04    769    | -17659.69    0.01869202   0.02109798    | -17659.55    
01/24/2025 19:10:04    770    | -17660.16    0.01661682   0.0118024     | -17660.03    
01/24/2025 19:10:04    771    | -17658.93    0.0004615784 0.0456813     | -17658.91    
01/24/2025 19:10:04    772    | -17659.27    0.01239395   0.03740784    | -17659.16    
01/24/2025 19:10:04    773    | -17659.71    0.007385254  0.02474222    | -17659.63    
01/24/2025 19:10:04    774    | -17659.62    6.103516e-05 0.02929702    | -17659.61    
01/24/2025 19:10:05    775    | -17659.89    0.006729126  0.02720003    | -17659.81    
01/24/2025 19:10:05    776    | -17659.61    0.02032852   0.0465902     | -17659.47    
01/24/2025 19:10:05    777    | -17660.1     0.04870987   0.03681658    | -17659.88    
01/24/2025 19:10:05    778    | -17659.15    0.005802155  0.03815744    | -17659.08    
01/24/2025 19:10:05    779    | -17659.48    0.00440979   0.0234736     | -17659.41    
01/24/2025 19:10:05    780    | -17659.07    0.008426666  0.04474607    | -17658.98    
01/24/2025 19:10:05    781    | -17659.7     0.002578735  0.02663044    | -17659.65    
01/24/2025 19:10:05    782    | -17659.44    0.002990723  0.04348965    | -17659.49    
01/24/2025 19:10:05    783    | -17659.37    0.001377106  0.02387321    | -17659.4     
01/24/2025 19:10:05    784    | -17659.41    0.01514053   0.02950888    | -17659.53    
01/24/2025 19:10:05    785    | -17659.61    0.0003089905 0.02934043    | -17659.59    
01/24/2025 19:10:05    786    | -17659.15    0.002990723  0.114476      | -17659.09    
01/24/2025 19:10:05    787    | -17659.56    0.001377106  0.02125903    | -17659.53    
01/24/2025 19:10:05    788    | -17659.3     0.007385254  0.04126365    | -17659.22    
01/24/2025 19:10:05    789    | -17659.27    0.0001373291 0.04197089    | -17659.28    
01/24/2025 19:10:05    790    | -17659.08    0.006729126  0.06952236    | -17659.16    
01/24/2025 19:10:05    791    | -17659.27    1.525879e-05 0.02658669    | -17659.26    
01/24/2025 19:10:05    792    | -17659.37    3.814697e-06 0.03151148    | -17659.37    
01/24/2025 19:10:05    793    | -17659.2     0.00320816   0.03296683    | -17659.26    
01/24/2025 19:10:05    794    | -17659.6     0.02145767   0.09834387    | -17659.45    
01/24/2025 19:10:05    795    | -17659.82    0.006103516  0.01851105    | -17659.74    
01/24/2025 19:10:05    796    | -17659.65    0.00390625   0.02864628    | -17659.59    
01/24/2025 19:10:05    797    | -17659.58    0.002780914  0.02075423    | -17659.53    
01/24/2025 19:10:05    798    | -17659.87    0.0001869202 0.03234163    | -17659.89    
01/24/2025 19:10:05    799    | -17659.59    0.00320816   0.02335862    | -17659.54    
01/24/2025 19:10:05    800    | -17659.46    0.001846313  0.03346863    | -17659.42    
01/24/2025 19:10:05    801    | -17659.74    0.002017975  0.02210683    | -17659.78    
01/24/2025 19:10:05    802    | -17659.84    3.814697e-06 0.0158981     | -17659.84    
01/24/2025 19:10:05    803    | -17659.34    0.007724762  0.0393323     | -17659.25    
01/24/2025 19:10:05    804    | -17659.5     0.006103516  0.03337709    | -17659.58    
01/24/2025 19:10:05    805    | -17658.88    0.01712418   0.04983108    | -17659.01    
01/24/2025 19:10:05    806    | -17659.16    0.003665924  0.06289756    | -17659.1     
01/24/2025 19:10:05    807    | -17659.05    0.130558     0.1031205     | -17659.41    
01/24/2025 19:10:05    808    | -17659.33    0.001525879  0.06651702    | -17659.29    
01/24/2025 19:10:05    809    | -17659.39    0.008426666  0.02311283    | -17659.3     
01/24/2025 19:10:05    810    | -17659.49    0.02565002   0.02846568    | -17659.33    
01/24/2025 19:10:05    811    | -17659.22    0.015625     0.02836233    | -17659.09    
01/24/2025 19:10:05    812    | -17659.92    0.005802155  0.01530887    | -17659.84    
01/24/2025 19:10:05    813    | -17659.73    0.002780914  0.01438995    | -17659.68    
01/24/2025 19:10:05    814    | -17659.61    0.004154205  0.0365563     | -17659.54    
01/24/2025 19:10:05    815    | -17659.89    0            0.01775356    | -17659.89    
01/24/2025 19:10:05    816    | -17659.77    0.003665924  0.02210373    | -17659.71    
01/24/2025 19:10:05    817    | -17659.68    0.01816177   0.03477556    | -17659.55    
01/24/2025 19:10:05    818    | -17659.14    0.01239395   0.02716964    | -17659.03    
01/24/2025 19:10:05    819    | -17659.36    0.0322876    0.06910999    | -17659.54    
01/24/2025 19:10:05    820    | -17660.03    0.001682281  0.0205616     | -17659.98    
01/24/2025 19:10:05    821    | -17659.52    0.001102448  0.029159      | -17659.49    
01/24/2025 19:10:05    822    | -17659.98    0.004673004  0.01849635    | -17659.91    
01/24/2025 19:10:05    823    | -17659.95    0.0003814697 0.0157482     | -17659.97    
01/24/2025 19:10:06    824    | -17659.39    0.02627945   0.02702616    | -17659.23    
01/24/2025 19:10:06    825    | -17659.72    0.00440979   0.04304908    | -17659.65    
01/24/2025 19:10:06    826    | -17659.24    0.0003089905 0.03200321    | -17659.26    
01/24/2025 19:10:06    827    | -17659.25    0.0005493164 0.07885542    | -17659.23    
01/24/2025 19:10:06    828    | -17659.27    0.001525879  0.0265797     | -17659.31    
01/24/2025 19:10:06    829    | -17658.71    0.004154205  0.03786914    | -17658.64    
01/24/2025 19:10:06    830    | -17659.41    6.103516e-05 0.05344351    | -17659.42    
01/24/2025 19:10:06    831    | -17659.96    0.0001869202 0.03297718    | -17659.97    
01/24/2025 19:10:06    832    | -17659.37    0.0001869202 0.0177386     | -17659.38    
01/24/2025 19:10:06    833    | -17659.65    0.01373291   0.02840866    | -17659.54    
01/24/2025 19:10:06    834    | -17659.53    0.0001373291 0.02956395    | -17659.52    
01/24/2025 19:10:06    835    | -17659.67    0.002578735  0.03573096    | -17659.62    
01/24/2025 19:10:06    836    | -17659.83    0.02088928   0.08782199    | -17659.69    
01/24/2025 19:10:06    837    | -17659.97    0.0006446838 0.01990808    | -17659.95    
01/24/2025 19:10:06    838    | -17659.32    0.0002441406 0.03883925    | -17659.3     
01/24/2025 19:10:06    839    | -17659.69    0.005802155  0.02006811    | -17659.61    
01/24/2025 19:10:06    840    | -17659.86    0.01112366   0.03067432    | -17659.75    
01/24/2025 19:10:06    841    | -17659.31    0.007724762  0.04224781    | -17659.22    
01/24/2025 19:10:06    842    | -17659.29    0.01196289   0.02715922    | -17659.18    
01/24/2025 19:10:06    843    | -17659.26    0.03663635   0.1268256     | -17659.07    
01/24/2025 19:10:06    844    | -17659.91    0.005222321  0.01792064    | -17659.84    
01/24/2025 19:10:06    845    | -17659.33    0.06747818   0.1464982     | -17659.59    
01/24/2025 19:10:06    846    | -17659.85    0.003665924  0.03302323    | -17659.79    
01/24/2025 19:10:06    847    | -17659.34    0.006412506  0.03441992    | -17659.26    
01/24/2025 19:10:06    848    | -17659.74    0.005802155  0.03558248    | -17659.66    
01/24/2025 19:10:06    849    | -17659.41    0.003665924  0.0247533     | -17659.35    
01/24/2025 19:10:06    850    | -17659.82    0.004154205  0.02567066    | -17659.88    
01/24/2025 19:10:06    851    | -17659.68    0.002197266  0.03572926    | -17659.72    
01/24/2025 19:10:06    852    | -17659.85    0.006103516  0.02246518    | -17659.92    
01/24/2025 19:10:06    853    | -17659.1     0.007385254  0.1166701     | -17659.01    
01/24/2025 19:10:06    854    | -17659.75    3.814697e-06 0.01884614    | -17659.75    
01/24/2025 19:10:06    855    | -17660.34    0.00390625   0.02028107    | -17660.28    
01/24/2025 19:10:06    856    | -17659.96    0.002384186  0.02576542    | -17659.92    
01/24/2025 19:10:06    857    | -17659.29    0.01196289   0.04128143    | -17659.18    
01/24/2025 19:10:06    858    | -17659.11    0.002384186  0.02967578    | -17659.15    
01/24/2025 19:10:06    859    | -17659.21    0.007385254  0.05092601    | -17659.3     
01/24/2025 19:10:06    860    | -17659.4     0            0.03572991    | -17659.4     
01/24/2025 19:10:06    861    | -17659.7     0.0269165    0.02341676    | -17659.53    
01/24/2025 19:10:06    862    | -17659.61    3.814697e-06 0.02940001    | -17659.61    
01/24/2025 19:10:06    863    | -17659.65    0.02502823   0.02208659    | -17659.49    
01/24/2025 19:10:06    864    | -17659.64    0.01514053   0.02647907    | -17659.52    
01/24/2025 19:10:06    865    | -17659.67    0.02627945   0.03159654    | -17659.51    
01/24/2025 19:10:06    866    | -17659.73    0.01327896   0.01596974    | -17659.62    
01/24/2025 19:10:06    867    | -17659.33    0.02203369   0.03181856    | -17659.19    
01/24/2025 19:10:06    868    | -17659.89    0.01031494   0.02153033    | -17659.79    
01/24/2025 19:10:06    869    | -17659.35    0.03158951   0.02605195    | -17659.17    
01/24/2025 19:10:06    870    | -17659.68    0.002384186  0.0243484     | -17659.63    
01/24/2025 19:10:06    871    | -17659.73    0.02627945   0.02365712    | -17659.57    
01/24/2025 19:10:06    872    | -17659.21    0.03442764   0.0670853     | -17659.4     
01/24/2025 19:10:06    873    | -17659.56    0.02502823   0.0288038     | -17659.4     
01/24/2025 19:10:06    874    | -17659.49    0.015625     0.02831162    | -17659.37    
01/24/2025 19:10:07    875    | -17659.68    0.00320816   0.01914915    | -17659.73    
01/24/2025 19:10:07    876    | -17659.04    0.002990723  0.03126789    | -17658.99    
01/24/2025 19:10:07    877    | -17659.35    0.0008583069 0.03577947    | -17659.38    
01/24/2025 19:10:07    878    | -17659.69    0.01327896   0.02471506    | -17659.58    
01/24/2025 19:10:07    879    | -17659.97    0.009536743  0.01412982    | -17659.87    
01/24/2025 19:10:07    880    | -17659.58    0.01283264   0.02300245    | -17659.47    
01/24/2025 19:10:07    881    | -17660.05    0.0161171    0.01979724    | -17659.93    
01/24/2025 19:10:07    882    | -17659.7     0.0008583069 0.01918113    | -17659.67    
01/24/2025 19:10:07    883    | -17659.42    0.01922989   0.02307378    | -17659.28    
01/24/2025 19:10:07    884    | -17659.8     0.007053375  0.02344836    | -17659.71    
01/24/2025 19:10:07    885    | -17659.14    0.05133057   0.0452656     | -17658.91    
01/24/2025 19:10:07    886    | -17659.49    0.05585098   0.03590912    | -17659.25    
01/24/2025 19:10:07    887    | -17659.38    0.02088928   0.02090817    | -17659.24    
01/24/2025 19:10:07    888    | -17659.61    0.03891373   0.0300909     | -17659.42    
01/24/2025 19:10:07    889    | -17659.46    0.009922028  0.03901118    | -17659.36    
01/24/2025 19:10:07    890    | -17659.54    0.01153946   0.03348325    | -17659.43    
01/24/2025 19:10:07    891    | -17659.49    0.0322876    0.02603028    | -17659.31    
01/24/2025 19:10:07    892    | -17659.36    0.01071548   0.04386706    | -17659.26    
01/24/2025 19:10:07    893    | -17659.77    0.02032852   0.03787678    | -17659.63    
01/24/2025 19:10:07    894    | -17659.15    0.0001869202 0.08291291    | -17659.14    
01/24/2025 19:10:07    895    | -17659.43    0.0146637    0.03455199    | -17659.31    
01/24/2025 19:10:07    896    | -17659.25    0.03021622   0.03601428    | -17659.07    
01/24/2025 19:10:07    897    | -17659.58    0.01031494   0.05039541    | -17659.48    
01/24/2025 19:10:07    898    | -17659.61    0.005222321  0.0293605     | -17659.54    
01/24/2025 19:10:07    899    | -17659.58    0.02320862   0.02152657    | -17659.43    
01/24/2025 19:10:07    900    | -17659.63    0.01071548   0.02248885    | -17659.53    
01/24/2025 19:10:07    901    | -17659.32    0.002990723  0.03171122    | -17659.27    
01/24/2025 19:10:07    902    | -17659.81    0.004943848  0.02412256    | -17659.74    
01/24/2025 19:10:07    903    | -17659.34    0.009536743  0.08594916    | -17659.44    
01/24/2025 19:10:07    904    | -17659.52    0.001846313  0.02588367    | -17659.48    
01/24/2025 19:10:07    905    | -17659.57    0.002384186  0.02853318    | -17659.53    
01/24/2025 19:10:07    906    | -17659.28    0.00440979   0.04139225    | -17659.22    
01/24/2025 19:10:07    907    | -17659.7     0.002990723  0.01722301    | -17659.64    
01/24/2025 19:10:07    908    | -17659.49    0.02887344   0.03222917    | -17659.32    
01/24/2025 19:10:07    909    | -17659.63    0.02441406   0.03837179    | -17659.48    
01/24/2025 19:10:07    910    | -17660.15    0.004673004  0.01454177    | -17660.08    
01/24/2025 19:10:07    911    | -17659.61    0.003665924  0.02075466    | -17659.55    
01/24/2025 19:10:07    912    | -17659.25    0.00440979   0.0322247     | -17659.18    
01/24/2025 19:10:07    913    | -17659.74    0.01514053   0.02119201    | -17659.62    
01/24/2025 19:10:07    914    | -17660.06    0.04615784   0.02049334    | -17659.84    
01/24/2025 19:10:07    915    | -17659.37    0.05493164   0.03359438    | -17659.14    
01/24/2025 19:10:07    916    | -17659.17    0.002384186  0.04104547    | -17659.12    
01/24/2025 19:10:07    917    | -17658.83    0.00390625   0.04997054    | -17658.77    
01/24/2025 19:10:07    918    | -17659.63    0.004154205  0.04505992    | -17659.57    
01/24/2025 19:10:07    919    | -17659.68    0.003433228  0.03022547    | -17659.62    
01/24/2025 19:10:07    920    | -17659.32    0.004673004  0.02813279    | -17659.25    
01/24/2025 19:10:07    921    | -17659.23    0.006103516  0.04188803    | -17659.31    
01/24/2025 19:10:07    922    | -17659.71    0.0008583069 0.02612897    | -17659.74    
01/24/2025 19:10:07    923    | -17659.15    0.00320816   0.08359674    | -17659.09    
01/24/2025 19:10:07    924    | -17659.43    0.003433228  0.02439708    | -17659.37    
01/24/2025 19:10:07    925    | -17659.99    6.103516e-05 0.03699118    | -17660       
01/24/2025 19:10:08    926    | -17658.97    0.01661682   0.1018534     | -17658.84    
01/24/2025 19:10:08    927    | -17659.5     0.02441406   0.04704959    | -17659.34    
01/24/2025 19:10:08    928    | -17659.69    0.03968811   0.05601399    | -17659.49    
01/24/2025 19:10:08    929    | -17659.55    0.008071899  0.03960981    | -17659.46    
01/24/2025 19:10:08    930    | -17659.8     0.001102448  0.03561198    | -17659.84    
01/24/2025 19:10:08    931    | -17659.55    0.0146637    0.0433599     | -17659.43    
01/24/2025 19:10:08    932    | -17659.68    0.0002441406 0.01839792    | -17659.7     
01/24/2025 19:10:08    933    | -17659.23    0.007724762  0.03142999    | -17659.14    
01/24/2025 19:10:08    934    | -17659.71    0.03442764   0.04387801    | -17659.53    
01/24/2025 19:10:08    935    | -17659.5     0.05677795   0.03815626    | -17659.26    
01/24/2025 19:10:08    936    | -17659.42    0.01763916   0.04062679    | -17659.29    
01/24/2025 19:10:08    937    | -17659.57    0.02261734   0.02983357    | -17659.42    
01/24/2025 19:10:08    938    | -17659.29    0.03299332   0.0693534     | -17659.11    
01/24/2025 19:10:08    939    | -17659.89    0.008789062  0.02888993    | -17659.79    
01/24/2025 19:10:08    940    | -17660.26    0.006412506  0.02016426    | -17660.18    
01/24/2025 19:10:08    941    | -17659.91    0.02320862   0.05659008    | -17659.76    
01/24/2025 19:10:08    942    | -17659.34    0.04615784   0.09499487    | -17659.12    
01/24/2025 19:10:08    943    | -17659.54    0.015625     0.03821744    | -17659.41    
01/24/2025 19:10:08    944    | -17659.81    0.01419449   0.01875508    | -17659.69    
01/24/2025 19:10:08    945    | -17659.47    0.04532242   0.01466109    | -17659.26    
01/24/2025 19:10:08    946    | -17659.96    0.05311584   0.02457778    | -17659.72    
01/24/2025 19:10:08    947    | -17659.37    0.003665924  0.08393458    | -17659.3     
01/24/2025 19:10:08    948    | -17659.38    0.02441406   0.06039971    | -17659.22    
01/24/2025 19:10:08    949    | -17659.27    0.002780914  0.08367764    | -17659.32    
01/24/2025 19:10:08    950    | -17659.63    0.01196289   0.02430682    | -17659.52    
01/24/2025 19:10:08    951    | -17660.02    0.02502823   0.03166173    | -17659.86    
01/24/2025 19:10:08    952    | -17659.73    0.01712418   0.01755946    | -17659.6     
01/24/2025 19:10:08    953    | -17659.76    0.006103516  0.02051733    | -17659.68    
01/24/2025 19:10:08    954    | -17659.99    0.009159088  0.0247837     | -17659.89    
01/24/2025 19:10:08    955    | -17659.64    0.02380753   0.02099272    | -17659.49    
01/24/2025 19:10:08    956    | -17659.97    0.01196289   0.009200472   | -17659.87    
01/24/2025 19:10:08    957    | -17659.82    0.006729126  0.02097048    | -17659.74    
01/24/2025 19:10:08    958    | -17659.28    0.02887344   0.06922232    | -17659.11    
01/24/2025 19:10:08    959    | -17659.45    0.005508423  0.02600213    | -17659.38    
01/24/2025 19:10:08    960    | -17659.25    0.02203369   0.03320393    | -17659.1     
01/24/2025 19:10:08    961    | -17659.34    0.008426666  0.02716292    | -17659.25    
01/24/2025 19:10:08    962    | -17659.55    0.001525879  0.01742124    | -17659.51    
01/24/2025 19:10:08    963    | -17659.86    3.433228e-05 0.02123908    | -17659.87    
01/24/2025 19:10:08    964    | -17660.08    0.01763916   0.01992128    | -17659.95    
01/24/2025 19:10:08    965    | -17659.3     0.02756119   0.03417708    | -17659.14    
01/24/2025 19:10:08    966    | -17660.14    0.01419449   0.0242148     | -17660.02    
01/24/2025 19:10:08    967    | -17659.67    0.02261734   0.02250915    | -17659.52    
01/24/2025 19:10:08    968    | -17659.88    0.02565002   0.03518658    | -17659.72    
01/24/2025 19:10:08    969    | -17660.28    0.01977539   0.01547358    | -17660.14    
01/24/2025 19:10:08    970    | -17659.77    3.814697e-06 0.03276687    | -17659.77    
01/24/2025 19:10:08    971    | -17659.76    0.0146637    0.02936613    | -17659.64    
01/24/2025 19:10:08    972    | -17660.12    0.02380753   0.01408963    | -17659.97    
01/24/2025 19:10:08    973    | -17659.67    0.01373291   0.0312147     | -17659.55    
01/24/2025 19:10:09    974    | -17659.8     0.008789062  0.0180351     | -17659.71    
01/24/2025 19:10:09    975    | -17659.52    0.04785156   0.0324377     | -17659.3     
01/24/2025 19:10:09    976    | -17659.69    0.0952301    0.0270163     | -17659.38    
01/24/2025 19:10:09    977    | -17659.75    0.03089905   0.0270496     | -17659.58    
01/24/2025 19:10:09    978    | -17659.74    0.06646729   0.04631579    | -17659.48    
01/24/2025 19:10:09    979    | -17659.14    0.03158951   0.03332508    | -17658.96    
01/24/2025 19:10:09    980    | -17659.42    0.006412506  0.02139995    | -17659.34    
01/24/2025 19:10:09    981    | -17659.6     0.006729126  0.02441137    | -17659.52    
01/24/2025 19:10:09    982    | -17659.47    0.04449463   0.02598963    | -17659.26    
01/24/2025 19:10:09    983    | -17659.84    0.01816177   0.01285861    | -17659.71    
01/24/2025 19:10:09    984    | -17659.33    0.03589249   0.02402082    | -17659.14    
01/24/2025 19:10:09    985    | -17659.8     0.00390625   0.02164546    | -17659.74    
01/24/2025 19:10:09    986    | -17659.05    0.01153946   0.03086804    | -17658.94    
01/24/2025 19:10:09    987    | -17659.53    0.04700089   0.02660809    | -17659.31    
01/24/2025 19:10:09    988    | -17659.42    0.001525879  0.02167323    | -17659.38    
01/24/2025 19:10:09    989    | -17659.4     0.02203369   0.03952669    | -17659.25    
01/24/2025 19:10:09    990    | -17659.68    0.01712418   0.01873647    | -17659.55    
